source_session_id,source_file,source_device,target_activity,y_14,fall_binary,y_binary,start_timestamp,end_timestamp,window_index,split
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161777481,1788161781208,0,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161779745,1788161781910,1,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161781248,1788161782691,2,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161781910,1788161783192,3,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161782711,1788161784234,4,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161783192,1788161784776,5,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161784234,1788161785517,6,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161784936,1788161786018,7,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161785537,1788161786539,8,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161786018,1788161787100,9,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161786559,1788161787441,10,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161787100,1788161788022,11,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161787441,1788161788503,12,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161788042,1788161789264,13,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161788503,1788161789665,14,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161789264,1788161790366,15,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_WATCH.csv,WATCH,SITTING,9,NORMAL,0,1788161789665,1788161791308,16,TRAIN
