source_session_id,source_file,source_device,target_activity,y_14,fall_binary,y_binary,start_timestamp,end_timestamp,window_index,split
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161764946,1788161780282,0,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161779257,1788161781284,1,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161780294,1788161782270,2,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161781292,1788161783251,3,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161782303,1788161784253,4,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161783269,1788161785226,5,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161784268,1788161786205,6,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161785253,1788161787208,7,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161786224,1788161788162,8,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161787225,1788161789144,9,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161788183,1788161790145,10,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161789160,1788161791138,11,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161790162,1788161792120,12,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161791163,1788161793119,13,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161792139,1788161794057,14,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161793138,1788161795055,15,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161794077,1788161796035,16,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161795075,1788161797032,17,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161796058,1788161798014,18,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161797052,1788161798950,19,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161798031,1788161799869,20,TRAIN
SESSION_20260831_130618_E3A0,SESSION_20260831_130618_E3A0_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161798969,1788161800869,21,TRAIN
SESSION_20260831_130655_4D60,SESSION_20260831_130655_4D60_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161801306,1788161816972,0,TRAIN
SESSION_20260831_130655_4D60,SESSION_20260831_130655_4D60_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161815996,1788161817970,1,TRAIN
SESSION_20260831_130655_4D60,SESSION_20260831_130655_4D60_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161816999,1788161818953,2,TRAIN
SESSION_20260831_130655_4D60,SESSION_20260831_130655_4D60_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161817990,1788161819929,3,TRAIN
SESSION_20260831_130655_4D60,SESSION_20260831_130655_4D60_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161818971,1788161820928,4,TRAIN
SESSION_20260831_130655_4D60,SESSION_20260831_130655_4D60_MOBILE.csv,PHONE,SITTING,9,NORMAL,0,1788161819954,1788161821893,5,TRAIN
