device,pipeline_code,pipeline_name,model,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_fall_precision,val_fall_recall,val_fall_f1,val_non_fall_f1,params,model_size_kb,latency_ms,train_duration_sec
PHONE,P01,01_raw_standardized,1D_CNN,0.5211316800558854,0.4703735316244825,0.494164377306709,0.44408669266764284,0.4972418914043475,0.8112313937753721,0.8030810448760884,0.8071356445641198,0.7920145190562613,38734,158.91015625,0.015389153750220428,23.175294876098633
PHONE,P01,01_raw_standardized,BiLSTM,0.5302130632203982,0.4321738857834902,0.45439690460814725,0.41831824744155366,0.48344640429056324,0.8121657754010695,0.8137977227059612,0.8129809300769488,0.7957617829740592,139534,549.9345703125,0.10798964844070724,65.82802891731262
PHONE,P01,01_raw_standardized,RandomForest,0.5794621026894865,0.5057958912344858,0.5030113412237746,0.47087877409282797,0.5370947815880236,0.8082278481012658,0.855324849296718,0.8311096648226489,0.8043724085940445,N/A,37995.1494140625,0.22559477843515197,0.4973108768463135
PHONE,P02,02_robust_scaling,1D_CNN,0.5766678309465596,0.526180733546663,0.5372631787977521,0.49288577396843075,0.5497783374319973,0.8773291925465838,0.7568653717347622,0.8126573175116865,0.8230899830220713,38734,158.91015625,0.018534895934863016,21.54335379600525
PHONE,P02,02_robust_scaling,BiLSTM,0.5218302479916171,0.4523730262094824,0.4817989668942259,0.43303660447705156,0.48844013174453244,0.7821192052980133,0.7910247823174816,0.7865467865467866,0.7645978699963276,139534,549.9345703125,0.10260611999910907,66.8862669467926
PHONE,P02,02_robust_scaling,RandomForest,0.5756199790429619,0.5064251271504279,0.5030479633994019,0.47363355392239603,0.5285280164866806,0.8063091482649842,0.8559946416610851,0.8304093567251462,0.802870090634441,N/A,37934.6494140625,0.22453597656294733,0.5192811489105225
PHONE,P03,03_signal_filtering,1D_CNN,0.5197345441844219,0.46332803135011597,0.47724751112861635,0.4372454588464837,0.4947222580051421,0.8085963734049698,0.8064300066979236,0.8075117370892019,0.7908163265306123,38734,158.91015625,0.016247643434326164,21.509692907333374
PHONE,P03,03_signal_filtering,BiLSTM,0.5158924205378973,0.4793488432301633,0.4760452393582336,0.43933457691396666,0.486780452695652,0.7913931436907367,0.7267247153382451,0.75768156424581,0.7575122292103424,139534,549.9345703125,0.103418150933976,66.31970477104187
PHONE,P03,03_signal_filtering,RandomForest,0.5738735592036326,0.5024797722249505,0.49678611244850596,0.46727220331587344,0.5318350518887384,0.8049398353388221,0.8513060951105157,0.8274739583333334,0.8003014318010551,N/A,37846.9931640625,0.21571597656020458,0.5667657852172852
PHONE,P04,04_gravity_motion_separation,1D_CNN,0.5351030387705205,0.47460328043413896,0.4917705389732571,0.4499076221998046,0.5061118976930394,0.8435032304379038,0.7870060281312793,0.8142758142758143,0.8112676056338028,38734,158.91015625,0.017888567813315603,21.400352954864502
PHONE,P04,04_gravity_motion_separation,BiLSTM,0.5029689137268599,0.43511298553050853,0.4336121945685313,0.39683824605905826,0.45806902594559606,0.7638800255264837,0.8017414601473544,0.7823529411764706,0.7501875468867217,139534,549.9345703125,0.11147890625125001,65.6272919178009
PHONE,P04,04_gravity_motion_separation,RandomForest,0.5770171149144254,0.5205723275302611,0.5041183807749434,0.4835492380478209,0.5482304270829998,0.8253638253638254,0.797722705961152,0.8113079019073569,0.8014336917562724,N/A,40337.8056640625,0.26432161469074344,0.6001231670379639
PHONE,P05,05_motion_magnitude_features,1D_CNN,0.542088718127838,0.4757166425054148,0.5049736729648695,0.45097863847710556,0.5167723115336343,0.822829131652661,0.7870060281312793,0.8045190003423485,0.7964349376114082,39054,160.16015625,0.020189973752167134,23.09827971458435
PHONE,P05,05_motion_magnitude_features,BiLSTM,0.5221795319594831,0.48661342139324165,0.47422669003857204,0.45460954734085895,0.4975102629697345,0.7857142857142857,0.7809778968519759,0.7833389318105475,0.7653692251727902,140558,553.9345703125,0.10801608062593004,67.13442993164062
PHONE,P05,05_motion_magnitude_features,RandomForest,0.5962277331470486,0.5369934387189479,0.5189142225725396,0.4905606488353292,0.556988843493955,0.816875,0.8754186202277294,0.8451341739411574,0.8180782377516141,N/A,37641.7744140625,0.2511393231270631,0.687903881072998
